A, 15, 20
A, 30, 47
B, 25, 26
A, 30, 26
B, 30, 20
B, 40, 25
A, 30, 0
B, 30, 51
B, 20, 50
B, 70, 86
B, 30, 10
A, 45, 45
A, 60, 70
B, 30, 0
A, 55, 51
A, 45, 55
A, 30, 28
A, 21, 44
A, 60, 28
B, 20, 17
B, 30, 33
B, 12, 12
B, 14, 32
B, 35, 35
B, 12, 16
A, 30, 0
A, 45, 36
B, 30, 25
B, 10, 11
A, 45, 47
B, 20, 23
A, 10, 29
A, 20, 0
A, 10, 9
B, 30, 70
B, 30, 0
A, 30, 50
B, 60, 75
B, 75, 60
A, 30, 28
A, 30, 40
B, 60, 70
A, 30, 41
A, 30, 31
A, 60, 40
A, 50, 24
A, 45, 23
B, 25, 30
A, 45, 40
A, 60, 0
A, 20, 20
A, 40, 27
A, 30, 90
B, 40, 37
A, 65, 50
A, 90, 84
B, 40, 90
B, 25, 50
A, 20, 15
